Shoulder_q1,Elbow_q2
22.918311805232932,-22.918311805232932
22.985933560708705,-23.06024673512084
23.415923474468034,-23.962775630334217
24.457980613563464,-26.15000525689566
26.252180064390316,-29.915946727451985
28.843589463441003,-35.355194921724355
32.196885528059305,-42.39360790695833
36.210970587194694,-50.81898635837406
40.73358911215658,-60.31175297961628
45.575944247368675,-70.47563192320452
50.527314341123216,-80.8683282109831
55.36966947633531,-91.03220715457132
59.89228800129721,-100.52497377581356
63.90637306043258,-108.95035222722929
67.25966912505089,-115.98876521246333
69.85107852410161,-121.42801340673576
71.64527797492838,-125.19395487729197
72.68733511402382,-127.38118450385353
73.11732502778318,-128.28371339906687
73.18494678325894,-128.4256483289549
73.18494723991435,-128.4256477177275
73.18494723991435,-128.4256477177275
72.87395594251197,-127.91613549514645
72.56357188818203,-127.40510270808993
72.25375617264048,-126.89254020026387
71.94447078119671,-126.37843815383489
71.94447077221646,-126.37843815100737
71.28930764227675,-126.67307930887824
70.62410653238484,-126.95754893369268
69.9490507067026,-127.23174026147929
69.26433581504673,-127.49554744481269
68.57016964594429,-127.74886603113738
67.86677200119524,-127.99159325172374
67.154374516123,-128.22362831378024
66.43322042425048,-128.44487269452787
65.7035642655448,-128.6552304359519
64.9656715378151,-128.8546084388598
64.21981829131613,-129.04291675479902
63.46629066710629,-129.22006887432093
62.70538438022303,-129.38598201002566
61.93740414926224,-129.54057737278032
61.16266307448089,-129.6837804394803
60.38148196706866,-129.81552121071243
59.5941886327495,-129.93573445668886
58.80111711337056,-130.0443599498458
58.00260689060414,-130.14134268254637
57.199002056316814,-130.22663306838928
56.39065045454974,-130.30018712570873
55.577902800384855,-130.36196664194756
54.76111178125165,-130.41193931770437
53.940631146438974,-130.45007888938778
53.116814790723886,-130.47636522955676
52.29001583810012,-130.4907844241867
51.46058573159323,-130.49332882627036
50.62887333507485,-130.48399708534166
49.795224052845505,-130.46279415269476
48.9599789725425,-130.42973126225726
48.12347403665086,-130.38482588726626
47.28603924755562,-130.32810167308034
46.44799791068191,-130.2595883466427
45.60966591982854,-130.17932160328445
44.77135108832262,-130.08734297172157
43.933352529113144,-129.98369965825145
43.09596008639009,-129.86844437129363
42.25945382077218,-129.74163512754407
41.42410354955701,-129.60333504111742
41.42410319236115,-129.6033349661779
40.370474188743096,-129.41222588580501
39.31960145745144,-129.20302126399753
38.27195484914958,-128.9758799991219
37.22797368022332,-128.7309709287097
36.18806716640174,-128.468472122502
35.15261416518781,-128.18856996172477
35.15261314801635,-128.1885696925485
34.19694691655329,-128.2760974452375
33.23478581374968,-128.34640863275513
32.26671381358984,-128.399453383079
32.266713590601356,-128.39945325598623
31.293316491428797,-128.4351937435934
30.315178999675396,-128.4536040379977
29.332883957258037,-128.45467100711076
29.33288360368107,-128.4546708894678
29.252397716663292,-128.91194185474907
29.1667821133903,-129.36799364999138
29.075939588056592,-129.82283157907932
28.97977008049051,-130.27646044207387
28.878170584288988,-130.72888457897938
28.878170597932908,-130.72888451975652
28.69381070143393,-131.49081735837586
28.693810817847805,-131.49081685565184
30.033209269735774,-131.9897273488813
31.387154131623948,-132.461611313355
32.7552489193538,-132.90588973775866
32.75524510645927,-132.90588872968837
32.87836262076985,-132.26678999305983
32.87836266884368,-132.26678976431697
32.997380296055525,-131.58666751114984
33.104814933268614,-130.90436340269775
33.10481498749577,-130.90436314164054
34.962501756190825,-130.86582996820047
34.96249677073828,-130.86582878343162
36.796303054348165,-130.76596748568676
36.796299253177416,-130.76596628016907
37.95284960031211,-131.04328851845455
39.11507038764705,-131.29950764730066
40.28238642644909,-131.53438030276598
41.45417320290433,-131.74767773563553
41.4541716361576,-131.74767742680493
42.31754959393629,-131.89051534607745
43.182696991269495,-132.02151410466607
44.04931944069597,-132.1406012686733
44.91710965304831,-132.24771011827787
45.78574840254035,-132.34277999228357
46.65490511160178,-132.42575652465143
47.52423850580271,-132.49659185901984
48.39339733656824,-132.5552448395263
49.262021168622184,-132.60168117640248
50.12974122835024,-132.63587358499808
50.996181308548024,-132.65780189708943
51.86095872433627,-132.66745314354748
52.72368531439073,-132.66482160767302
53.58396848106728,-132.64990884875024
54.4414122625092,-132.62272369561927
55.29561842941498,-132.58328221032215
56.146187598831204,-132.5316076221292
56.992720357118976,-132.4677302325001
57.834818384131296,-132.39168729177288
58.67208557063231,-132.30352284860254
59.504129121087615,-132.20328757338058
60.33056063415791,-132.091038557062
61.15099715352579,-131.9668390869982
61.96506218207803,-131.83075840152387
62.77238665293743,-131.68287142517136
63.572609851386325,-131.52325848648658
64.36538028233109,-131.35200502049335
65.15035647861617,-131.1692012579023
65.92720774619029,-130.974941903182
66.69561484284966,-130.76932580360895
67.45527058801281,-130.5524556113868
68.20588040171569,-130.32443744087928
68.94716277173464,-130.08538052293392
69.67884964844299,-129.83539685819002
70.40068676767314,-129.57460087116468
71.11243390248212,-129.30310906679884
71.81386504529614,-129.02103969102208
72.50476852243831,-128.72851239676436
73.18494704351072,-128.42564791670685
73.18494723991435,-128.4256477177275
73.18494723991435,-128.4256477177275
73.18494723991435,-128.4256477177275
73.15334594463835,-128.41509272343438
72.95240117272577,-128.34797614159044
72.46542246128412,-128.18532276060597
71.62694930673963,-127.9052684373941
70.41592050359462,-127.50077862157036
68.8488434831851,-126.9773668796523
66.97296365243827,-126.35081341925918
64.85943373262998,-125.64488361331149
62.596483098142336,-124.8890465242307
60.282587115221155,-124.11619342813879
58.019636480733524,-123.36035633905799
55.906106560925224,-122.6544265331103
54.0302267301784,-122.02787307271718
52.463149709768864,-121.50446133079912
51.252120906623844,-121.09997151497538
50.41364775207937,-120.81991719176352
49.92666904063773,-120.65726381077906
49.72572426872515,-120.59014722893508
49.69412297344914,-120.57959223464198
49.69412297280214,-120.579592234347
49.69412297280214,-120.579592234347
49.83698199442465,-121.07787486746267
49.97798874837213,-121.57512399113061
50.11712103003683,-122.071360856778
50.254355563554974,-122.56660653774873
50.389667964827574,-123.06088194842057
50.389667967985076,-123.06088194106795
49.57992381378628,-124.01020462819747
49.579925922181936,-124.01020079684935
48.725664599361615,-124.93360995418969
48.72566688438372,-124.93360606914898
47.40442609361036,-124.8741002322791
46.07799412686138,-124.78173897420746
46.07799255632375,-124.78173845530388
43.96196776460087,-124.5675849466738
43.96195681564013,-124.5675814753105
42.61559520130059,-123.69651171568512
42.61559133094083,-123.69650989461121
41.2934085310096,-122.79941829847176
41.29340494238441,-122.79941654449732
41.208741728740335,-122.19203813038816
41.11967745600178,-121.58305020340929
41.11967746696879,-121.5830501622182
41.03364353513738,-121.01953800871875
40.94399312744346,-120.45459469014544
40.85078561704008,-119.888190740067
40.850785624630866,-119.88819071295237
41.5289187562252,-119.66369904694197
42.19842603531019,-119.42730927998308
42.8590890695275,-119.17910069649783
42.85908914586176,-119.17910054180705
43.51069848346767,-118.91915452540796
44.15305408897199,-118.6475538118518
44.785965065770576,-118.36438315062682
44.785965160638376,-118.36438297692062
45.66969378043684,-118.42880211849715
46.54994512245598,-118.47688719120448
47.42633315880772,-118.50861609916227
48.298466524269315,-118.52397410245156
48.29846625296647,-118.52397395166943
49.088970311540216,-118.52370854021298
49.08897014023241,-118.52370843676164
49.24307560779338,-119.03942694669273
49.395316140562585,-119.55396457031785
49.545672143913336,-120.06734514177862
49.69412296952128,-120.57959224155147
49.69412297280214,-120.579592234347
49.69412297280214,-120.579592234347
49.69412297280214,-120.579592234347
49.69435649812755,-120.57397182845907
49.69584142755339,-120.53823306619161
49.69944007314887,-120.45162212214036
49.70563617095282,-120.3024966064443
49.714585357777715,-120.0871107067134
49.726165648013776,-119.80840032995607
49.74002791043297,-119.47476824450676
49.755646344993124,-119.09886922195348
49.77236895964188,-118.69639517906535
49.78946804712087,-118.28486031972022
49.80619066176963,-117.88238627683208
49.82180909632978,-117.50648725427881
49.835671358748975,-117.1728551688295
49.847251648985036,-116.89414479207217
49.856200835809936,-116.67875889234125
49.86239693361388,-116.52963337664521
49.86599557920936,-116.44302243259396
49.867480508635204,-116.40728367032654
49.86771403396061,-116.40166326443857
49.86771403341803,-116.40166326417251
49.86771403341803,-116.40166326417251
49.17032461562086,-116.42516346462372
48.46915675797204,-116.43743290372711
47.76442485104373,-116.43846807412976
47.056342465059394,-116.42826867314389
46.3451220379363,-116.4068376818027
45.63097449241434,-116.3741813546309
44.91410886007332,-116.33030919819778
44.194731913880865,-116.2752339385592
43.47304781083319,-116.20897147774848
42.74925774615795,-116.13154083953032
42.023559620444395,-116.04296410468042
41.29614772095318,-115.94326633610282
40.56721241823627,-115.83247549414065
39.83693987906906,-115.71062234247727
39.105511796563704,-115.57774034506146
38.37310513819545,-115.43386555452402
37.639891912335244,-115.27903649257938
37.639891714295025,-115.27903639829556
37.73079745803149,-115.79730126870467
37.81892951504386,-116.31414387230532
37.904254209028814,-116.82958761993864
37.98673645878427,-117.34365550262059
37.98673646336107,-117.3436554850801
39.11830614624456,-117.57691137198776
40.248477048516484,-117.7848447679697
41.37660403301495,-117.96731399150946
41.376602951124134,-117.96731353617183
40.42832960042772,-118.15752493570429
39.468223055287844,-118.32536671636787
39.468223003705155,-118.32536635279732
39.0613081787834,-118.75323688462883
38.644885043216554,-119.17407450046154
38.64488514117993,-119.17407432178724
38.21894820722767,-119.58781593789092
37.78349731644158,-119.99439583096448
37.7834974195058,-119.99439565410371
37.870201790079925,-120.74050822445881
37.94986753128401,-121.48394961002049
37.94986755558483,-121.48394950308189
37.99649605177339,-121.95228137066893
38.04020722839627,-122.4195879964884
38.08095657620823,-122.88588481511843
38.11869806015453,-123.35118703210553
38.11869806435434,-123.35118701274395
38.844220008274704,-123.87093762900916
39.57519529371037,-124.38273582304286
40.31173622505386,-124.88647724036908
40.31173587571871,-124.88647706633678
41.05384188637638,-125.38089845666974
41.80171532613449,-125.86704090601475
42.55545626456826,-126.34478753892064
42.55545587662081,-126.34478735738323
43.75891840998838,-126.51215460735922
44.96197981857813,-126.65402834872697
46.163764212639194,-126.77026899722011
46.163762910812025,-126.77026866711492
47.212969534534324,-126.85082051852388
48.25987352025715,-126.91161780811744
49.303831451467516,-126.95261357983631
50.34418597308807,-126.97377589403179
50.34418541362575,-126.97377572902438
50.937473938426315,-126.51661027550733
51.51611831843522,-126.0496718705792
52.0801201239636,-125.57310397166091
52.080120402801455,-125.57310357851031
52.62916200749983,-125.08587465740358
53.16357185726182,-124.58928688490188
53.68339144875501,-124.08347149850877
53.68339170137879,-124.08347109955874
53.53915947837251,-123.6228384484578
53.39349571154554,-123.16138341383378
53.24641601006671,-122.69908929713267
53.09793525523865,-122.23593928744197
52.948067619268684,-121.77191645687067
52.79682658526027,-121.30700375172391
52.79682658738117,-121.30700374799527
52.63972771542002,-120.82750448106705
52.481200508602704,-120.34702524029407
52.32125750443751,-119.86554695371771
52.15991054869134,-119.38305036353303
51.99717081045915,-118.89951601988682
51.83304879861557,-118.41492427039485
51.83304880074787,-118.41492426657342
52.17629788954491,-118.38917826661584
52.1762978853849,-118.38917826237989
53.36318311891959,-118.27857414923761
54.53606305554062,-118.1355050777127
54.536062601499346,-118.13550443344268
55.35316969321248,-118.5121689111613
56.17344407875633,-118.87726152008753
56.17344365693997,-118.87726132623865
56.99680713422123,-119.23067567494758
57.82316902911551,-119.57230424694177
57.82316860050595,-119.57230405895325
58.05476806847691,-120.13029610751676
58.28518968096548,-120.68684238474277
58.51443283804033,-121.24197092178996
58.5144328396963,-121.24197091930775
58.9482781403416,-122.29664918279346
58.948278162654795,-122.29664915200526
58.90790270930242,-123.3800633319505
58.907902896044334,-123.38006241129658
58.844807518385124,-124.4532746938663
58.84480771645821,-124.45327371732246
58.260247009235236,-125.5177587744285
58.26024846234375,-125.51775523649391
59.414615429222394,-125.32656327157966
60.553974787523394,-125.10779326370626
61.67729226739321,-124.86166439585297
61.67729237434397,-124.86166386237365
61.820985972144655,-124.22718539768724
61.9547690980725,-123.5894171599884
61.95476915107601,-123.58941695606573
61.853131023134345,-122.46610076337285
61.853131179850706,-122.46610010833055
61.74037930862171,-121.33537022635485
61.74037946324461,-121.33536959410928
61.28767128178634,-120.35354373711694
61.28767127857891,-120.35354372001731
61.08280764908622,-119.90941098787121
60.87744237576497,-119.46429365210643
60.671570279036416,-119.01817802080411
60.4651860576029,-118.57105019255816
60.258284286990914,-118.12289605161112
60.05085941785185,-117.67370126216726
60.05085941762509,-117.67370126135988
59.354285712966565,-117.48958495093865
58.65805930111868,-117.29622942280295
57.96229816851651,-117.09368088692051
57.26711505307991,-116.88198676665726
57.26711486862408,-116.88198668584764
56.57401924938234,-116.66091031232826
55.881718832561745,-116.4308276707962
55.19031009154097,-116.19178917180038
54.49988416071991,-115.9438459113225
54.49988397209022,-115.94384582387774
53.74357296812338,-116.0560853787634
52.980564055619354,-116.1539928092627
52.211163474517186,-116.2375325174648
51.43568040765279,-116.30667374110139
50.654426304943335,-116.36139083708417
49.86771415780067,-116.4016633940293
49.86771403341803,-116.40166326417251
49.86771403341803,-116.40166326417251
49.86771403341803,-116.40166326417251
49.8706483844009,-116.3829169351106
49.88930719201663,-116.26371369408366
49.93452579612989,-115.97483113116625
50.0123825581282,-115.47743716274164
50.12483312471881,-114.75903798799403
50.27034469172576,-113.8294260454007
50.44453026788677,-112.71662796922409
50.640782938650204,-111.46285254600414
50.85091012997206,-110.1204386710504
51.06576787211287,-108.74780330493405
51.275895063434724,-107.4053894299803
51.47214773419816,-106.15161400676038
51.646333310359175,-105.03881593058378
51.791844877366124,-104.10920398799041
51.90429544395674,-103.3908048132428
51.98215220595503,-102.8934108448182
52.027370810068305,-102.60452828190081
52.04602961768404,-102.48532504087387
52.0489639686669,-102.46657871181195
52.04894846860764,-102.46656709179308
52.048948468607996,-102.46656709179078
51.4246831425503,-102.6327923258828
50.793090555589316,-102.78529838547196
50.15436678324258,-102.92406182268914
49.50871062244657,-103.04906066099942
49.50871056327386,-103.04906048928186
50.50910302023108,-103.88220370084557
50.509102155358775,-103.88220304768225
51.244500264381195,-104.83948677197587
51.244500017926576,-104.83948659433771
51.98491498789104,-105.78168150643737
51.98491473040987,-105.7816813228933
52.452117594260734,-106.85908965056919
52.452117590333586,-106.85908960444449
52.68685182441384,-107.40139021158708
52.920505207723,-107.94187219397868
53.15308723327014,-108.4805673999453
53.15308723320623,-108.48056739711014
52.833106623157974,-109.42147194800626
52.833106916196776,-109.42147079037284
52.4901297059767,-110.34667529339497
52.49013002254479,-110.34667411678561
51.10435884994381,-110.55478454906861
51.104358057193,-110.5547822868645
50.03409851575566,-110.67714811306512
50.034098149716556,-110.67714738683492
49.20430126226974,-110.15839275878534
49.204300824158864,-110.15839248934236
48.37753014473722,-109.62731004779998
48.377529712858475,-109.62730977730904
47.97934598361417,-109.05537003325826
47.5816618852722,-108.48046063286293
47.18442780715612,-107.90255421750264
47.18442778507946,-107.90255420353522
46.6770297303379,-107.1605221821187
46.67702967172809,-107.16052214442725
46.29080479555081,-106.5804731080591
45.90479823710629,-105.99744721285568
45.51896392226708,-105.41141080031667
45.1332558263971,-104.82232868008178
45.13325580780576,-104.82232866742655
44.334517877832596,-104.33058299189744
43.53732089249502,-103.82644203838811
43.53732054122047,-103.82644178740279
42.74167086182002,-103.30994889813353
41.947565768237034,-102.78114205636184
41.94756542184328,-102.78114180112294
41.2066739415378,-102.74170259017104
40.46102282686783,-102.68705920607341
39.710840008879536,-102.61722159947203
39.710839814270145,-102.61722140095435
38.85024940123875,-102.51907113525502
37.984387583368914,-102.40120608384589
37.1135763073932,-102.26365292698426
37.11357592764315,-102.2636525782926
36.7495804380078,-102.67913893678067
36.37742855609468,-103.08582249034912
35.99716351541617,-103.48368097550741
35.99716354905371,-103.48368082489333
35.61067525523081,-103.87308919770697
35.216195292349326,-104.2536709822058
34.81377539065966,-104.62539900543665
34.81377542521611,-104.6253988626724
34.943292026892486,-105.14334647446158
35.07070222823748,-105.65952795490534
35.19599670742105,-106.17397217001901
35.319165356106886,-106.6867073598519
35.44019727151553,-107.19776116803202
35.440197274106204,-107.19776115795119
35.6852183436746,-108.25623558749946
35.68521839278814,-108.25623539970898
36.26347513896066,-109.47193846764658
36.26347510316204,-109.47193841196219
36.83781233478758,-110.67852345095754
